Empresa,Sector,Website,Telefono,Email,Score,Urgencia,Actividad_Online,Critical,High,Medium,Vulnerabilidad_1,Que_Es,Como_Afecta,Solucion,Precio_Minimo,Precio_Recomendado,Precio_Premium,Servicio_Auxdesign,Notas_Pricing
Restaurante Ramón Freixa,Restaurante 2* Michelin,https://ramonfreixamadrid.com,+34917817262,reservas@ramonfreixamadrid.com,210,URGENTE,3/6,3,3,3,GDPR_NO_COOKIE_CONSENT,"Usa Google Analytics y Facebook Pixel sin banner de consentimiento previo","ILEGAL desde 2019. Cada visita = infracción GDPR Art.7. Sanción AEPD €20.000-€300.000. Si reciben inspección = multa inmediata.","Instalar Cookiebot o OneTrust. Configurar GA4 modo consent. Redactar política cookies. Test compliance.",€890,€2.490,€5.800,"Rediseño completo + compliance + performance + SEO","2* Michelin = presupuesto alto. Reputación en juego. Precio premium justificado. Competencia usa web moderna."
Restaurante Ramón Freixa,Restaurante 2* Michelin,https://ramonfreixamadrid.com,+34917817262,reservas@ramonfreixamadrid.com,210,URGENTE,3/6,3,3,3,VULN_WORDPRESS_OLD,"WordPress versión 5.8 o anterior con CVEs públicos conocidos (CVE-2021-29447, CVE-2022-21661)","Hackeo automatizado inminente. Scripts buscan estas versiones 24/7. Si hackean: robo datos clientes + notificación AEPD 72h + sanción €200K + daño reputacional incalculable.","Update WordPress + todos plugins + themes. Backup previo. Security hardening (wp-config, permisos, .htaccess). WAF instalado.",€390,€890,€1.490,"WordPress Security Overhaul + WAF + Monitoring","WordPress obsoleto = vulnerabilidad crítica. Michelin hackeado = prensa nacional. URGENTE."
Restaurante Ramón Freixa,Restaurante 2* Michelin,https://ramonfreixamadrid.com,+34917817262,reservas@ramonfreixamadrid.com,210,URGENTE,3/6,3,3,3,GDPR_NO_PRIVACY_POLICY,"No existe página /privacy-policy o /privacidad con política GDPR compliant","ILEGAL. GDPR Art.13: obligatorio ANTES de recoger datos. Cada formulario enviado = infracción. €10.000 por infracción. 100 reservas/mes = €1M acumulado.","Redacción legal Privacy Policy adaptada a restauración. Incluir: datos recogidos, finalidad, plazo, derechos ARCO, DPO. Publicar en web.",€390,€890,€1.290,"GDPR Compliance Completo (Privacy + Cookie + Terms)","Sin política = cada cliente es infracción. Multas acumulativas."
Gimnasio Víctor Ullate,Gimnasio Premium,https://victorullate.com,+34914471890,info@victorullate.com,210,URGENTE,3/6,3,3,3,AI_ACT_NO_DISCLOSURE,"Usa chatbot con IA (Intercom/Drift detectado) sin declaración legal","NUEVO: EU AI Act 2024 vigente Agosto. Obligatorio declarar uso IA. Multa €15M o 3% facturación global. Inspecciones 2025-2026. Son de los PRIMEROS en saberlo.","Auditoría sistemas IA. Redacción /ai-disclosure. Update Privacy Policy con IA. Registro base datos UE si aplica.",€500,€1.500,€2.200,"AI Act + GDPR Full Compliance","OPORTUNIDAD: Competencia no lo sabe. Adelantarse = ventaja. Premium justificado."
Gimnasio Víctor Ullate,Gimnasio Premium,https://victorullate.com,+34914471890,info@victorullate.com,210,URGENTE,3/6,3,3,3,VULN_WORDPRESS_OLD,"WordPress obsoleto versión <6.0 con vulnerabilidades públicas","Hackeo inminente. 70% webs hackeadas = WP sin actualizar. Ransomware, defacement, robo datos socios.","Update completo + hardening + WAF + 2FA admin + monitoring 6 meses.",€390,€890,€1.490,"WordPress Security + WAF Premium","Gimnasio con datos socios sensibles. Hackeo = pérdida clientes masiva."
Restaurante Sacha,Restaurante,https://restaurantesacha.com,+34914571952,reservas@restaurantesacha.com,150,URGENTE,2/6,1,4,3,SSL_EXPIRING,"Certificado SSL expira en 23 días","En 23 días navegadores bloquearán web. Pérdida 100% tráfico. Reservas = 0. Cada día más cerca = más urgencia.","Renovación SSL urgente. Instalación + configuración. Verificación. Alerta auto-renovación.",€290,€590,€890,"SSL + Security Headers + Monitoring","URGENCIA TEMPORAL. Precio sube según proximidad expiración. Ahora: descuento. Semana antes: 2×."
Restaurante DiverXO,Restaurante 3* Michelin,https://diverxo.com,+34915700766,reservas@diverxo.com,130,URGENTE,2/6,1,3,3,VULN_WORDPRESS_OLD,"WordPress obsoleto, vulnerable a exploits automatizados","3* Michelin hackeado = escándalo nacional. Pérdida reputación > pérdida económica. Prensa, redes, competencia.","WordPress Security Overhaul + WAF enterprise + Penetration testing + Monitoring 24/7 + Incident response plan.",€890,€2.490,€8.500,"Rediseño completo Next.js + Headless CMS + CDN global","3* Michelin NO puede tener WordPress. Necesita stack profesional: Next.js + Strapi + Vercel. €8.5K justificado."
Asesoría Montero,Asesoría Fiscal,https://asesoriamontero.es,+34915432190,contacto@asesoriamontero.es,130,URGENTE,2/6,1,3,3,GDPR_NO_PRIVACY_POLICY,"Asesoría fiscal sin Privacy Policy = doble riesgo (datos propios + clientes)","Manejan datos fiscales sensibles. Sin privacy policy = negligencia profesional. Pueden perder colegiación. Clientes pueden demandar.",€390,€1.290,€2.490,"GDPR + Asesorías (incluye registro tratamientos Art.30 + DPO externo)","Asesorías = compliance más estricto. Precio mayor justificado por especialización sector."
Asesoría Montero,Asesoría Fiscal,https://asesoriamontero.es,+34915432190,contacto@asesoriamontero.es,130,URGENTE,2/6,1,3,3,SSL_EXPIRING,"SSL expira en 21 días. Clientes ven 'No seguro' al acceder web asesoría fiscal.","Asesoría con web 'No segura' = pérdida credibilidad total. Clientes: '¿Confío mis impuestos a alguien que no protege su web?'","SSL renewal + Security headers + Email security (SPF/DMARC). Protección integral.",€290,€890,€1.490,"SSL + Email Security + Brand protection","Reputación asesoría depende de confianza. Web insegura = marca destruida."
Restaurante Coque,Restaurante 2* Michelin,https://restaurantecoque.com,+34916041275,reservas@restaurantecoque.com,110,URGENTE,6/6,1,2,3,GDPR_NO_COOKIE_CONSENT,"Google Analytics sin banner consentimiento. Reservas online activas (e-commerce 6/6).","Cada reserva online = dato personal sin consentimiento = infracción. 200 reservas/mes = €4M riesgo acumulado anual.","Cookie consent banner + Privacy Policy + Terms reservas + GDPR compliance checkout.",€890,€1.790,€4.800,"E-commerce compliance completo + UX optimizado + Conversion Rate Optimization","Alta actividad online (6/6) = muchas transacciones = mayor riesgo. Compliance + UX = ROI doble."
