Empresa,Website,Score,Categoria,Critical,High,Medium,Low,SSL,SPF,DMARC,GDPR_Risk,Sector,Direccion,Telefono,Email,Pitch
Restaurante Botín,https://botin.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Cuchilleros 17 Madrid,+34913664217,reservas@botin.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Ritz Madrid,https://mandarinoriental.com/es/madrid/hotel-ritz,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Plaza de la Lealtad 5 Madrid,+34917016767,momad-reservations@mohg.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica Dental Estetic,https://clinicadentalestetic.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Velázquez 94 Madrid,+34915763421,info@clinicadentalestetic.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Despacho Garrigues,https://garrigues.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Abogados,Calle Hermosilla 3 Madrid,+34914350200,madrid@garrigues.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Casa del Libro Gran Vía,https://casadellibro.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Gran Vía 29 Madrid,+34915212219,tienda029@casadellibro.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Gimnasio Metropolitan,https://clubmetropolitan.net,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Calle Orense 69 Madrid,+34917823030,contacto@clubmetropolitan.net,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Cervecería Alemana,https://lacerveceriaalemana.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Plaza de Santa Ana 6 Madrid,+34914296033,reservas@lacerveceriaalemana.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Villa Real,https://derbyhotels.com/hotel-villa-real-madrid,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Plaza de las Cortes 10 Madrid,+34914200767,villareal@derbyhotels.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Óptica 2000 Goya,https://optica2000.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Goya 45 Madrid,+34915755123,goya@optica2000.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Peluquería Llongueras,https://llongueras.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Peluquería,Calle Serrano 42 Madrid,+34914356780,serrano@llongueras.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
