Empresa,Website,Score,Categoria,Critical,High,Medium,Low,Problemas_Encontrados,GDPR_Risk,Sector,Direccion,Telefono,Email,Pitch
"Restaurante Botín","https://botin.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Cuchilleros 17 Madrid","+34913664217","reservas@botin.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Hotel Ritz Madrid","https://mandarinoriental.com/es/madrid/hotel-ritz",0,"🟢 VERDE",0,0,0,0,"","BAJO","Hotel","Plaza de la Lealtad 5 Madrid","+34917016767","momad-reservations@mohg.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Clínica Dental Estetic","https://clinicadentalestetic.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Clínica","Calle Velázquez 94 Madrid","+34915763421","info@clinicadentalestetic.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Despacho Garrigues","https://garrigues.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Abogados","Calle Hermosilla 3 Madrid","+34914350200","madrid@garrigues.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Casa del Libro Gran Vía","https://casadellibro.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Retail","Gran Vía 29 Madrid","+34915212219","tienda029@casadellibro.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Gimnasio Metropolitan","https://clubmetropolitan.net",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Gimnasio","Calle Orense 69 Madrid","+34917823030","contacto@clubmetropolitan.net","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Cervecería Alemana","https://lacerveceriaalemana.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Plaza de Santa Ana 6 Madrid","+34914296033","reservas@lacerveceriaalemana.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Villa Real","https://derbyhotels.com/hotel-villa-real-madrid",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Plaza de las Cortes 10 Madrid","+34914200767","villareal@derbyhotels.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Óptica 2000 Goya","https://optica2000.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Retail","Calle Goya 45 Madrid","+34915755123","goya@optica2000.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Peluquería Llongueras","https://llongueras.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Peluquería","Calle Serrano 42 Madrid","+34914356780","serrano@llongueras.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Restaurante La Barraca","https://labarraca.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Reina 29 Madrid","+34915326502","info@labarraca.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Clínica Ruber Internacional","https://ruberinternacional.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Clínica","Calle La Masó 38 Madrid","+34914572100","info@ruberinternacional.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Only YOU Atocha","https://onlyyouhotels.com/atocha",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Paseo Infanta Isabel 13 Madrid","+34910580628","atocha@onlyyouhotels.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Joyería Suárez","https://joyeriasuarez.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Retail","Calle Serrano 34 Madrid","+34915762323","info@joyeriasuarez.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Asesoría Fiscal Madrid","https://asesoriafiscalmadrid.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Asesoría","Calle Alcalá 63 Madrid","+34915234567","contacto@asesoriafiscalmadrid.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Restaurante Amazónico","https://amazonico.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Jorge Juan 20 Madrid","+34915195892","reservas@amazonico.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"CrossFit Chamberí","https://crossfitchamberi.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Gimnasio","Calle Bravo Murillo 123 Madrid","+34914471234","info@crossfitchamberi.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Círculo Gran Vía","https://circulogranvia.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Gran Vía 24 Madrid","+34915214700","reservas@circulogranvia.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Farmacia Central","https://farmaciacentral-madrid.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Farmacia","Puerta del Sol 2 Madrid","+34915213456","info@farmaciacentral-madrid.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Clínica Fisioterapia Retiro","https://fisiomadretiro.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Clínica","Calle O'Donnell 34 Madrid","+34914332211","citas@fisiomadretiro.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Restaurante Sobrino de Botín","https://botin.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Cuchilleros 17 Madrid","+34913664217","info@botin.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Librería Types","https://types.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Retail","Calle Mejía Lequerica 3 Madrid","+34915939511","info@types.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Emperador","https://hotelemperadormadrid.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Gran Vía 53 Madrid","+34915477800","recepcion@hotelemperadormadrid.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Centro Médico Ruber","https://ruber.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Clínica","Calle Juan Bravo 39 Madrid","+34914017100","atencion@ruber.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Restaurante DiverXO","https://diverxo.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Padre Damián 23 Madrid","+34915700766","reservas@diverxo.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Despacho Uría Menéndez","https://uria.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Abogados","Calle Príncipe de Vergara 187 Madrid","+34915860400","madrid@uria.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Gimnasio Holmes Place","https://holmesplace.com/es/madrid",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Gimnasio","Calle Serrano 61 Madrid","+34915777700","madrid@holmesplace.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Restaurante Lakasa","https://lakasa.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Plaza Descubridor Diego Ordás 1 Madrid","+34915333715","info@lakasa.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Óptica Universitaria","https://opticauniversitaria.es",10,"🟢 VERDE",0,0,1,0,"Missing X-Frame-Options; ","BAJO","Retail","Calle Montera 35 Madrid","+34915229845","montera@opticauniversitaria.es","1 problemas detectados: Missing X-Frame-Options;  Recomendamos auditoría completa."
"Clínica Baviera Madrid","https://clinicabaviera.com",20,"🟢 VERDE",0,0,2,0,"Missing CSP; Missing X-Frame-Options; ","BAJO","Clínica","Calle Castelló 12 Madrid","+34917819494","madrid@clinicabaviera.com","2 problemas detectados: Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Hotel NH Collection Madrid Suecia","https://nh-hotels.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Calle Marqués de Casa Riera 4 Madrid","+34914571500","nhsuecia@nh-hotels.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Peluquería Marco Aldany","https://marcoaldany.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Peluquería","Calle Fuencarral 89 Madrid","+34915218976","fuencarral@marcoaldany.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Restaurante Ten Con Ten","https://tenconten.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle Ayala 6 Madrid","+34915755254","reservas@tenconten.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Joyería Carrera y Carrera","https://carreraycarrera.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Retail","Calle Serrano 26 Madrid","+34915768121","info@carreraycarrera.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Asesoría Montero y Asociados","https://asesoriamontero.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Asesoría","Calle Alcalá 456 Madrid","+34915432190","contacto@asesoriamontero.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Restaurante La Terraza del Casino","https://casinodemadrid.es/restaurantes/la-terraza",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle Alcalá 15 Madrid","+34915321275","laterraza@casinodemadrid.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"CrossFit Madrid Centro","https://crossfitmadridcentro.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Gimnasio","Calle Embajadores 45 Madrid","+34914678234","info@crossfitmadridcentro.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Palacio de los Duques","https://palaciodelosduques.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Cuesta de Santo Domingo 5 Madrid","+34914548800","info@palaciodelosduques.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Farmacia Internacional","https://farmaciainternacional.net",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Farmacia","Gran Vía 1 Madrid","+34915213344","info@farmaciainternacional.net","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Clínica Menorca","https://clinicamenorca.com",20,"🟢 VERDE",0,0,2,0,"Missing CSP; Missing X-Frame-Options; ","BAJO","Clínica","Calle Menorca 23 Madrid","+34914137130","info@clinicamenorca.com","2 problemas detectados: Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Restaurante Coque","https://restaurantecoque.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Marqués de Riscal 11 Madrid","+34916041275","reservas@restaurantecoque.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Librería Antonio Machado","https://libreriaantoniomachado.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Retail","Calle Fernando VI 17 Madrid","+34914415528","info@libreriaantoniomachado.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Único Madrid","https://unicohotelmadrid.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Hotel","Calle Claudio Coello 67 Madrid","+34917810173","reservas@unicohotelmadrid.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Centro Médico ABC","https://centromedicoabc.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Clínica","Calle Maldonado 61 Madrid","+34915770550","info@centromedicoabc.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Restaurante Ramón Freixa","https://ramonfreixamadrid.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Claudio Coello 67 Madrid","+34917817262","reservas@ramonfreixamadrid.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
