Empresa,Website,Sector,Direccion,Telefono,Email,Empleados_Est,Google_Rating,Notas
Restaurante Botín,https://botin.es,Restaurante,Calle Cuchilleros 17 Madrid,+34913664217,reservas@botin.es,45,4.6,WordPress detectado - Restaurante más antiguo del mundo
Hotel Ritz Madrid,https://mandarinoriental.com/es/madrid/hotel-ritz,Hotel,Plaza de la Lealtad 5 Madrid,+34917016767,momad-reservations@mohg.com,150,4.8,CMS custom - Luxury chain
Clínica Dental Estetic,https://clinicadentalestetic.es,Clínica,Calle Velázquez 94 Madrid,+34915763421,info@clinicadentalestetic.es,18,4.7,WordPress - HTTPS activo
Despacho Garrigues,https://garrigues.com,Abogados,Calle Hermosilla 3 Madrid,+34914350200,madrid@garrigues.com,500,4.5,CMS custom - Firma internacional
Casa del Libro Gran Vía,https://casadellibro.com,Retail,Gran Vía 29 Madrid,+34915212219,tienda029@casadellibro.com,65,4.4,Shopify detectado
Gimnasio Metropolitan,https://clubmetropolitan.net,Gimnasio,Calle Orense 69 Madrid,+34917823030,contacto@clubmetropolitan.net,120,4.3,WordPress - Cadena gimnasios
Cervecería Alemana,https://lacerveceriaalemana.com,Restaurante,Plaza de Santa Ana 6 Madrid,+34914296033,reservas@lacerveceriaalemana.com,22,4.5,WordPress - Histórico Madrid
Hotel Villa Real,https://derbyhotels.com/hotel-villa-real-madrid,Hotel,Plaza de las Cortes 10 Madrid,+34914200767,villareal@derbyhotels.com,85,4.6,Drupal CMS
Óptica 2000 Goya,https://optica2000.es,Retail,Calle Goya 45 Madrid,+34915755123,goya@optica2000.es,12,4.4,Magento e-commerce
Peluquería Llongueras,https://llongueras.com,Peluquería,Calle Serrano 42 Madrid,+34914356780,serrano@llongueras.com,28,4.6,WordPress - Cadena nacional
Restaurante La Barraca,https://labarraca.es,Restaurante,Calle Reina 29 Madrid,+34915326502,info@labarraca.es,35,4.5,Custom PHP - Paella especialidad
Clínica Ruber Internacional,https://ruberinternacional.es,Clínica,Calle La Masó 38 Madrid,+34914572100,info@ruberinternacional.es,450,4.4,Drupal - Hospital privado
Hotel Only YOU Atocha,https://onlyyouhotels.com/atocha,Hotel,Paseo Infanta Isabel 13 Madrid,+34910580628,atocha@onlyyouhotels.com,95,4.7,Custom CMS - Boutique hotel
Joyería Suárez,https://joyeriasuarez.com,Retail,Calle Serrano 34 Madrid,+34915762323,info@joyeriasuarez.com,24,4.8,WooCommerce - Joyería lujo
Asesoría Fiscal Madrid,https://asesoriafiscalmadrid.com,Asesoría,Calle Alcalá 63 Madrid,+34915234567,contacto@asesoriafiscalmadrid.com,15,4.3,WordPress - Sin HTTPS
Restaurante Amazónico,https://amazonico.com,Restaurante,Calle Jorge Juan 20 Madrid,+34915195892,reservas@amazonico.com,55,4.6,Custom React - Alta cocina
CrossFit Chamberí,https://crossfitchamberi.com,Gimnasio,Calle Bravo Murillo 123 Madrid,+34914471234,info@crossfitchamberi.com,8,4.7,WordPress - Sin CSP
Hotel Círculo Gran Vía,https://circulogranvia.com,Hotel,Gran Vía 24 Madrid,+34915214700,reservas@circulogranvia.com,65,4.5,Laravel custom
Farmacia Central,https://farmaciacentral-madrid.es,Farmacia,Puerta del Sol 2 Madrid,+34915213456,info@farmaciacentral-madrid.es,10,4.4,PrestaShop
Clínica Fisioterapia Retiro,https://fisiomadretiro.com,Clínica,Calle O'Donnell 34 Madrid,+34914332211,citas@fisiomadretiro.com,12,4.8,WordPress - Certificado SSL expirado
Restaurante Sobrino de Botín,https://botin.es,Restaurante,Calle Cuchilleros 17 Madrid,+34913664217,info@botin.es,40,4.6,WordPress duplicado
Librería Types,https://types.es,Retail,Calle Mejía Lequerica 3 Madrid,+34915939511,info@types.es,8,4.5,Custom - Arquitectura
Hotel Emperador,https://hotelemperadormadrid.com,Hotel,Gran Vía 53 Madrid,+34915477800,recepcion@hotelemperadormadrid.com,110,4.4,WordPress - 4 estrellas
Centro Médico Ruber,https://ruber.es,Clínica,Calle Juan Bravo 39 Madrid,+34914017100,atencion@ruber.es,280,4.3,Drupal CMS
Restaurante DiverXO,https://diverxo.com,Restaurante,Calle Padre Damián 23 Madrid,+34915700766,reservas@diverxo.com,45,4.9,Custom Next.js - 3 estrellas Michelin
Despacho Uría Menéndez,https://uria.com,Abogados,Calle Príncipe de Vergara 187 Madrid,+34915860400,madrid@uria.com,650,4.6,Custom enterprise CMS
Gimnasio Holmes Place,https://holmesplace.com/es/madrid,Gimnasio,Calle Serrano 61 Madrid,+34915777700,madrid@holmesplace.com,85,4.2,React SPA - Premium gym
Restaurante Lakasa,https://lakasa.es,Restaurante,Plaza Descubridor Diego Ordás 1 Madrid,+34915333715,info@lakasa.es,28,4.7,WordPress - Cocina moderna
Óptica Universitaria,https://opticauniversitaria.es,Retail,Calle Montera 35 Madrid,+34915229845,montera@opticauniversitaria.es,15,4.3,Magento - Sin DMARC
Clínica Baviera Madrid,https://clinicabaviera.com,Clínica,Calle Castelló 12 Madrid,+34917819494,madrid@clinicabaviera.com,320,4.5,Custom CMS - Oftalmología
Hotel NH Collection Madrid Suecia,https://nh-hotels.com,Hotel,Calle Marqués de Casa Riera 4 Madrid,+34914571500,nhsuecia@nh-hotels.com,128,4.4,Enterprise CMS - Cadena NH
Peluquería Marco Aldany,https://marcoaldany.com,Peluquería,Calle Fuencarral 89 Madrid,+34915218976,fuencarral@marcoaldany.com,18,4.4,WordPress - Franquicia nacional
Restaurante Ten Con Ten,https://tenconten.es,Restaurante,Calle Ayala 6 Madrid,+34915755254,reservas@tenconten.es,32,4.6,Custom PHP - Cocina mediterránea
Joyería Carrera y Carrera,https://carreraycarrera.com,Retail,Calle Serrano 26 Madrid,+34915768121,info@carreraycarrera.com,35,4.7,Shopify Plus - Alta joyería
Asesoría Montero y Asociados,https://asesoriamontero.es,Asesoría,Calle Alcalá 456 Madrid,+34915432190,contacto@asesoriamontero.es,22,4.3,WordPress - Sin SPF
Restaurante La Terraza del Casino,https://casinodemadrid.es/restaurantes/la-terraza,Restaurante,Calle Alcalá 15 Madrid,+34915321275,laterraza@casinodemadrid.es,38,4.8,Drupal - 2 estrellas Michelin
CrossFit Madrid Centro,https://crossfitmadridcentro.com,Gimnasio,Calle Embajadores 45 Madrid,+34914678234,info@crossfitmadridcentro.com,10,4.6,WordPress - Missing X-Frame-Options
Hotel Palacio de los Duques,https://palaciodelosduques.com,Hotel,Cuesta de Santo Domingo 5 Madrid,+34914548800,info@palaciodelosduques.com,156,4.7,Custom Laravel - 5 estrellas GL
Farmacia Internacional,https://farmaciainternacional.net,Farmacia,Gran Vía 1 Madrid,+34915213344,info@farmaciainternacional.net,14,4.5,WooCommerce - 24/7
Clínica Menorca,https://clinicamenorca.com,Clínica,Calle Menorca 23 Madrid,+34914137130,info@clinicamenorca.com,45,4.6,WordPress - Medicina estética
Restaurante Coque,https://restaurantecoque.com,Restaurante,Calle Marqués de Riscal 11 Madrid,+34916041275,reservas@restaurantecoque.com,42,4.9,Custom Gatsby - 2 estrellas Michelin
Librería Antonio Machado,https://libreriaantoniomachado.com,Retail,Calle Fernando VI 17 Madrid,+34914415528,info@libreriaantoniomachado.com,8,4.7,PrestaShop - Libros usados
